,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
27,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"38,000"," Banjara Hills, NH "
28,3 BHK Apartment,2,Furnished,Bachelors,2020 sqft,"45,000"," Gachibowli, Outer Ring Road "
29,2 BHK Service Apartment,1,Furnished,Bachelors/Family,1200 sqft,"35,000", Mehindipatnam 
30,3 BHK Apartment,2,Unfurnished,Bachelors,1640 sqft,"35,000"," YMCA Circle, Narayanguda "
31,3 BHK Apartment,2,Unfurnished,Bachelors,1640 sqft,"35,000"," YMCA Circle, Narayanguda "
32,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1870 sqft,"40,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
33,3 BHK Apartment,2,Semi-Furnished,Family,1600 sqft,"25,000", Jubilee Hills 
34,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1650 sqft,"25,000", Kondapur 
35,3 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,East Facing Property,"27,000", Kondapur
36,2 BHK Apartment,2,Unfurnished,Bachelors,1260 sqft,"19,000", Kondapur 
37,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1920 sqft,"35,000"," Golf View, Gachibowli, Outer Ring Road "
38,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1250 sqft,"18,000", Devan Devdi 
39,3 BHK Apartment,2,Semi-Furnished,Bachelors,1818 sqft,"40,000"," Lodha Casa Paradiso, Sanath Nagar, NH "
40,3 BHK Apartment,2,Semi-Furnished,Family,2130 sqft,"24,000"," Srila Park Pride, Kukatpally, NH "
41,3 BHK Builder Floor,1,Unfurnished,Family,1800 sqft,"35,000"," Gudi Malkapur, Mehdipatnam "
42,3 BHK Apartment,2,Furnished,Bachelors,1555 sqft,"30,000"," Bachupally, Outer Ring Road "
43,1 BHK Apartment,East,Furnished,Bachelors/Family,East Facing Property,"23,000"," Banjara Basera Apartment, Banjara Hills, NH "
44,2 BHK Apartment,2,Semi-Furnished,Family,1200 sqft,"16,000", KPHB 
45,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1600 sqft,"20,000"," Dullapally, NH "
46,2 BHK Apartment,2,Unfurnished,Bachelors,1296 sqft,"12,000"," VSR Celestial Towers, Gajularamaram "
47,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2072 sqft,"28,000"," Jeedimetla, NH "
48,3 BHK Apartment,3,Unfurnished,Bachelors/Family,1460 sqft,"17,000"," Vasanth Nagar Colony, Nizampet "
49,3 BHK Apartment,West,Semi-Furnished,Bachelors,1900 sqft,"45,000"," Nallagandla, Serilingampally "
50,2 BHK Apartment,1,Unfurnished,Bachelors/Family,950 sqft,"15,500", Brindavan Colony-Toli Chowki 
51,2 BHK Apartment,1,Furnished,Bachelors/Family,1100 sqft,"16,000", West Marredpally 
52,2 BHK Apartment,1,Semi-Furnished,Family,1563 sqft,"20,000"," PBEL City, Appa junction "
53,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1990 sqft,"36,000"," Aditya Empress Towers, Shaikpet "
54,3 BHK Apartment,2,Unfurnished,Bachelors,2051 sqft,"45,000"," Prestige Ivy League, Phase "
55,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,read more,"9,800", Shri
56,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1260 sqft,"20,000"," Upparpally, Hyderabad Expressway "
57,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1075 sqft,"15,000"," Gangaram, Chandanagar, NH "
58,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2100 sqft,"30,000"," Srinivas Nagar, Rhoda Mistri Nagar "
59,3 BHK Apartment,2,Unfurnished,Bachelors,2000 sqft,"35,000"," Vasanth Nagar Colony, Nizampet "
60,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"36,000", Madhapur 
61,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1360 sqft,"13,000"," Annojiguda, NH "
62,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2025 sqft,"35,000"," Neknampur, Manikonda, Outer Ring Road "
63,3 BHK Apartment,3,Semi-Furnished,Family,1860 sqft,"22,000"," NGRI, Secunderabad "
64,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"25,000"," Chandanagar, NH "
65,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1160 sqft,"30,000"," Samatha Nagar, Kukatpally, NH "
66,3 BHK Apartment,2,Unfurnished,Bachelors,1400 sqft,"17,500", Bandlaguda Jagir 
67,3 BHK Apartment,1,Furnished,Bachelors/Family,1380 sqft,"44,000"," Jains Carlton Creek, Gachibowli, Outer Ring Road "
68,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,1800 sqft,"24,000"," Kukatpally, NH "
69,3 BHK Apartment,2,Furnished,Bachelors/Family,2000 sqft,"43,000"," Aditya Imperial Heights, Hafeezpet, NH "
70,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,"35,000"," Nallagandla, Serilingampally "
71,3 BHK Apartment,1,Semi-Furnished,Family,1620 sqft,"25,000", Gajularamaram 
72,3 BHK Apartment,3,Semi-Furnished,Family,2200 sqft,"25,000"," Ramanthapur, NH "
73,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1810 sqft,"30,000"," ALIND Employees Colony, Serilingampally "
74,3 BHK Builder Floor,2,Semi-Furnished,Bachelors,1510 sqft,"12,000"," ARK Homes, Bolarum, Medchal Road "
75,4 BHK Apartment,2,Semi-Furnished,Family,2800 sqft,"50,000"," Kokapet, Outer Ring Road "
76,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1908 sqft,"48,000"," SMR Vinay Iconia, Kondapur "
77,3 BHK Apartment,East,Semi-Furnished,Family,1705 sqft,"30,000", Hitech City 
78,2 BHK Apartment,West,Unfurnished,Bachelors/Family,900 sqft,"19,000", Papulguda 
79,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1690 sqft,"38,000"," My Home Vihanga, Gachibowli, Outer Ring Road "
80,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"35,000"," Aditya Empress Towers, Shaikpet "
81,2 BHK Apartment,1,Unfurnished,Bachelors/Family,800 sqft,"10,000", Attapur 
82,3 BHK Apartment,2,Unfurnished,Bachelors,1360 sqft,"14,000", Balaji Hills Colony 
83,2 BHK Apartment,1,Furnished,Bachelors,1200 sqft,"29,000"," Green Space Hill Park, Manikonda, Outer Ring Road "
84,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"17,000", Puppalaguda 
85,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1580 sqft,"16,000"," GK Pride, Yapral "
86,2 BHK Builder Floor,Garden/Park,Unfurnished,Bachelors,900 sqft,"15,000", Mehdipatnam 
87,3 BHK Apartment,2,Unfurnished,Bachelors,1230 sqft,"17,000", Nizampet 
88,2 BHK Builder Floor,North,Semi-Furnished,Bachelors,1050 sqft,"18,000"," Kavadiguda, NH "
89,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1265 sqft,"9,000"," Gundlapochampally, Outer Ring Road "
90,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"16,000", East Marredpally 
91,3 BHK Apartment,2,Semi-Furnished,Family,1400 sqft,"21,000"," Silicon Ridge, Attapur "
92,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1550 sqft,"13,000"," Gks Habitat Royale, Yapral "
93,2 BHK Builder Floor,1,Semi-Furnished,Family,1100 sqft,"17,000", Attapur 
94,2 BHK Penthouse,2,Furnished,Bachelors,970 sqft,"17,000"," Green Space Residency, Gajularamaram "
95,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1650 sqft,"40,000"," Lacasa K Apartments, Banjara Hills, NH "
96,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1630 sqft,"30,000", Gopanapalli 
97,3 BHK Apartment,1,Semi-Furnished,Bachelors,1738 sqft,"48,000", Kondapur 
98,3 BHK Apartment,1,Unfurnished,Bachelors,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
99,3 BHK Apartment,1,Unfurnished,Bachelors,East Facing Property,"24,000"," Ramky One Marvel, Kukatpally, NH "
100,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1250 sqft,"18,000"," Golden Heights Colony, Janachaitanya colony, Hyderabad Expressway "
101,2 BHK Apartment,1,Semi-Furnished,Family,1314 sqft,"30,000"," My Home Avatar, Narsingi, Outer Ring Road "
102,3 BHK Apartment,3,Semi-Furnished,Family,3250 sqft,"36,000"," Floatilla, Manikonda, Outer Ring Road "
103,4 BHK Apartment,1,Semi-Furnished,Family,2200 sqft,"50,000"," Ashoka Liviano, Gachibowli, Outer Ring Road "
104,3 BHK Apartment,1,Semi-Furnished,Bachelors,1360 sqft,"15,000"," Modi Emerald Heights, Pocharam, NH "
105,3 BHK Service Apartment,1,Furnished,Bachelors,1460 sqft,"30,000", Shamshabad 
106,3 BHK Apartment,2,Unfurnished,Bachelors,1150 sqft,"18,000", Royal Colony-Ram Bagh Colony 
107,3 BHK Apartment,2,Semi-Furnished,Family,2000 sqft,"25,000"," Anjaneyanagar Colony, Boduppal "
108,2 BHK Builder Floor,1,Unfurnished,Family,900 sqft,"9,500", Bairagiguda 
109,3 BHK Apartment,3,Semi-Furnished,Family,1600 sqft,"27,000", West Marredpally 
110,Studio Apartment,Main Road,Furnished,Bachelors/Family,read more,"36,000", Kavuri Hills
111,3 BHK Builder Floor,1,Furnished,Bachelors,1369 sqft,"45,000", Masab Tank 
112,3 BHK Apartment,4,Semi-Furnished,Bachelors/Family,2580 sqft,"48,000", Whitefields 
113,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2259 sqft,"45,000"," Lodha Meridian, Kukatpally Housing Board Colony, NH "
114,3 BHK Apartment,3,Semi-Furnished,Family,1800 sqft,"32,000"," Khairatabad, NH "
115,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"33,000"," My Home Avatar, My home avatar "
116,2 BHK Apartment,1,Unfurnished,Bachelors/Family,890 sqft,"8,000", Medipally 
117,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1843 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
118,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,"25,000"," Old Nallakunta, New Nallakunta "
119,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"12,000"," Paramount Residency, Nagaram "
120,3 BHK Apartment,1,Furnished,Bachelors/Family,NaN,"18,000"," Sadbhavana, Ghatkesar, NH "
121,3 BHK Apartment,2,Furnished,Bachelors/Family,1100 sqft,"13,000"," Janapriya Lakefront, Sainikpuri "
122,3 BHK Apartment,2,Semi-Furnished,Family,2000 sqft,"25,000", Suchitra Circle 
123,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2540 sqft,"38,000"," NCC Urban One, Narsingi, Outer Ring Road "
124,2 BHK Apartment,2,Semi-Furnished,Bachelors,1150 sqft,"16,000"," Gandhi Nagar, Kavadiguda, NH "
125,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1250 sqft,"10,500"," Beeramguda, Ramachandra Puram, NH "
126,3 BHK Builder Floor,North - East,Furnished,Bachelors/Family,2200 sqft,"40,000", Gachibowli Phase 
127,2 BHK Apartment,Main Road,Furnished,Bachelors/Family,1120 sqft,"19,000"," Basheer Bagh, NH "
128,3 BHK Apartment,East,Semi-Furnished,Family,1608 sqft,"20,000"," Manchirevula, Outer Ring Road "
129,3 BHK Apartment,2,Furnished,Bachelors/Family,2000 sqft,"20,000", Osman Nagar 
130,2 BHK Apartment,1,Semi-Furnished,Family,1200 sqft,"26,000"," Ameerpet, NH "
131,2 BHK Apartment,2,Unfurnished,Bachelors,1000 sqft,"20,000", Bandari Layout 
132,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1100 sqft,"18,500"," Al Hasnath Colony, Toli Chowki "
133,2 BHK Apartment,1,Unfurnished,Bachelors,950 sqft,"35,000", Shaikpet 
134,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,"40,000"," NCL Sindhu, Dandamudi Enclave, Jeedimetla "
135,3 BHK Apartment,East,Furnished,Family,2045 sqft,"30,000", Shaikpet 
136,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,"40,000"," Nallagandla, Serilingampally "
137,3 BHK Apartment,1,Semi-Furnished,Family,1368 sqft,"21,000", Gajularamaram 
138,Studio Apartment,3,Unfurnished,Bachelors/Family,read more,"18,000", Gowlidoddy
139,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"32,500"," Kukatpally Housing Board Colony, NH "
140,3 BHK Apartment,2,Semi-Furnished,Bachelors,1450 sqft,"32,000"," Kavuri Hills, Madhapur "
141,3 BHK Apartment,2,Furnished,Bachelors/Family,2347 sqft,"45,000"," SMR Vinay Iconia, Kondapur "
142,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2800 sqft,"45,000"," Trendset Winz, Gachibowli, Outer Ring Road "
143,3 BHK Apartment,1,Semi-Furnished,Family,1650 sqft,"40,000"," Gachibowli, Outer Ring Road "
144,3 BHK Apartment,2,Unfurnished,Bachelors,1865 sqft,"31,500"," Indu Fortune Fields apartments, Hitech City "
145,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2200 sqft,"24,000"," Old Malakpet, NH "
146,3 BHK Apartment,2,Semi-Furnished,Family,3000 sqft,"45,000"," Hafeezpet, NH "
147,2 BHK Apartment,2,Semi-Furnished,Bachelors,1000 sqft,"13,000"," Temple Alwal, Secunderabad, Siddipet Road "
148,2 BHK Apartment,1,Unfurnished,Bachelors,1300 sqft,"20,000"," Punjagutta, NH "
149,2 BHK Service Apartment,2,Furnished,Family,1300 sqft,"18,000"," Samatha Nagar, Kukatpally, NH "
150,3 BHK Apartment,1,Furnished,Family,1375 sqft,"45,000"," Lanco Hills, Manikonda, Outer Ring Road "
151,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1800 sqft,"20,000"," Narsingi, Outer Ring Road "
152,3 BHK Builder Floor,North,Semi-Furnished,Bachelors,2000 sqft,"36,000"," Domalguda, Himayath Nagar, NH "
153,3 BHK Apartment,2,Semi-Furnished,Family,1600 sqft,"22,000"," NCL Ganga, Kompally "
154,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,2100 sqft,"23,000"," Pragathi Nagar-Ramanthpur, NH "
155,3 BHK Apartment,3,Semi-Furnished,Family,1789 sqft,"15,500"," Saket, Secunderabad "
156,3 BHK Builder Floor,1,Unfurnished,Family,1450 sqft,"12,000", Sainikpuri 
157,4 BHK Apartment,3,Semi-Furnished,Bachelors,3380 sqft,"45,000"," NCC Urban One, Narsingi, Outer Ring Road "
158,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2000 sqft,"35,000"," Lakdikapul, NH "
159,2 BHK Builder Floor,3,Unfurnished,Bachelors,1100 sqft,"15,000", Vidya Nagar 
160,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1690 sqft,"32,000"," Aparna Hillpark Gardenia, Chandanagar, NH "
161,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1750 sqft,"22,000"," Kalyan Puri, Secunderabad "
162,2 BHK Apartment,3,Furnished,Bachelors,1050 sqft,"27,000", Nehru Nagar-West Marredpally 
163,2 BHK Builder Floor,Main Road,Unfurnished,Bachelors/Family,800 sqft,"10,000", Sangareddy District 
164,2 BHK Apartment,1,Furnished,Bachelors,1070 sqft,"22,000"," Samata Colony, Toli Chowki "
165,3 BHK Apartment,1,Semi-Furnished,Family,1252 sqft,"12,000", Dammaiguda 
166,3 BHK Apartment,3,Semi-Furnished,Bachelors,1150 sqft,"16,000"," Tilak Nagar, New Nallakunta, NH "
167,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,2400 sqft,"22,000"," Tellapur, Outer Ring Road "
168,3 BHK Apartment,2,Furnished,Bachelors/Family,1590 sqft,"39,000"," Aditya Imperial Heights, Hafeezpet, NH "
169,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1700 sqft,"18,000", Karwan sahu 
170,3 BHK Apartment,3,Furnished,Family,1550 sqft,"50,000", New Mallepally 
171,2 BHK Apartment,1,Unfurnished,Bachelors,1314 sqft,"33,000"," My Home Avatar, Narsingi, Outer Ring Road "
172,3 BHK Apartment,2,Semi-Furnished,Family,1000 sqft,"18,500", Mayur Marg 
173,3 BHK Apartment,3,Furnished,Bachelors/Family,1950 sqft,"48,000", Nanakram Guda 
174,4 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,4000 sqft,"25,000"," Saptagiri Colony, Kukatpally, NH "
175,2 BHK Apartment,2,Furnished,Bachelors/Family,read more,"15,000", Sangareddy
176,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"14,000"," Dilsukh Nagar, NH "
177,3 BHK Builder Floor,3,Unfurnished,Bachelors/Family,1630 sqft,"20,000"," Alkapuri, LB Nagar, NH "
178,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1050 sqft,"27,000", Madhapur 
179,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,915 sqft,"15,000"," Vidyanagar, Adikmet "
180,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"14,000"," Champapet, Koti "
181,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1144 sqft,"16,500"," Nirmala Ratna Apartment, Gangaram, Chandanagar, NH "
182,3 BHK Apartment,1,Semi-Furnished,Family,1660 sqft,"29,000"," Moti Nagar-Erragadda, NH "
183,3 BHK Apartment,2,Furnished,Bachelors/Family,1198 sqft,"40,000"," Mantri Celestia, Gachibowli, Outer Ring Road "
184,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"17,500", Masab Tank 
185,3 BHK Apartment,2,Semi-Furnished,Family,1655 sqft,"16,000"," Hyder Nagar, NH "
186,3 BHK Apartment,1,Semi-Furnished,Bachelors,2000 sqft,"30,000"," Khaja Guda, Outer Ring Road "
187,3 BHK Apartment,3,Semi-Furnished,Family,2003 sqft,"25,000"," Pearl Celestial, Kokapet, Outer Ring Road "
188,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,"24,000"," Vertex Pleasant, Kukatpally, NH "
189,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,2500 sqft,"35,000"," Banjara Hills, NH "
190,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"40,000"," Kavuri Hills, Madhapur "
191,Studio Apartment,2,Semi-Furnished,Bachelors,read more,"42,000", Aparna Serene Park
192,3 BHK Apartment,2,Furnished,Bachelors/Family,1570 sqft,"22,000"," Daisy Classic, Kukatpally, NH "
193,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1380 sqft,"23,000"," SMR Vinay Harmony County, Appa junction "
194,5 BHK Apartment,2,Semi-Furnished,Bachelors/Family,4000 sqft,"40,000"," My Nest Mahati, Kondapur "
195,3 BHK Apartment,2,Semi-Furnished,Family,1800 sqft,"27,000"," De Lite Power Welfare Society, Narsingi, Outer Ring Road "
196,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1095 sqft,"12,500", Gajularamaram 
197,2 BHK Apartment,1,Unfurnished,Bachelors,150 sqyrd,"12,500"," Sun City, Bandlaguda, Chevella Road "
198,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1000 sqft,"12,000", Gudimalkapur 
199,3 BHK Apartment,West,Furnished,Family,1260 sqft,"18,000", Tarnaka 
200,3 BHK Apartment,NaN,Bachelors/Family,3,1800 sqft,"25,000", Appa junction 
201,3 BHK Apartment,2,Furnished,Bachelors,1610 sqft,"25,000", Raghuram A
202,3 BHK Apartment,2,Unfurnished,Bachelors,1495 sqft,"23,000"," SMR Vinay City, Miyapur, NH "
203,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1300 sqft,"16,000", Nizampet 
204,3 BHK Apartment,3,Semi-Furnished,Family,2600 sqft,"38,000"," Yousufguda, NH "
205,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1265 sqft,"18,500"," Chandanagar, NH "
206,3 BHK Apartment,1,Unfurnished,Bachelors,2285 sqft,"50,000"," Lumbini Avenue, Gachibowli, Outer Ring Road "
207,3 BHK Apartment,Immediately,Furnished,Family,1425 sqft,"22,000"," Kokapet, Outer Ring Road "
208,3 BHK Apartment,3,Semi-Furnished,Bachelors,2200 sqft,"31,000", Kothaguda 
209,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1840 sqft,"38,000"," Gachibowli CUC, Outer Ring Road "
210,3 BHK Apartment,NaN,Bachelors/Family,3,1525 sqft,"25,000"," Hafeezpet, NH "
211,Studio Apartment,1,Semi-Furnished,Bachelors,read more,"10,000"," Kukatpally Housing Board Colony, NH "
212,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1250 sqft,"16,500", Attapur 
213,1 BHK Penthouse,2,Semi-Furnished,Bachelors/Family,"Near Kiran international school Boduppal, Near Ganesh temple and Park","13,000", Lakshmi Nagar Colony-Hanuman Nagar Colony
214,1 BHK Apartment,1,Furnished,Bachelors,East Facing Property,"25,000", Gachibowli
215,3 BHK Apartment,2,Furnished,Bachelors/Family,2259 sqft,"50,000"," Lodha Meridian, K P H B Phase "
216,2 BHK Apartment,1,Furnished,Bachelors/Family,1365 sqft,"36,000"," Magnam Opus, Gachibowli, Outer Ring Road "
217,2 BHK Apartment,1,Semi-Furnished,Family,1314 sqft,"30,000"," My Home Avatar, Narsingi, Outer Ring Road "
218,3 BHK Apartment,2,Semi-Furnished,Family,1925 sqft,"32,000"," SMR Vinay Fountainhead, Hyderabad "
219,2 BHK Apartment,East,Semi-Furnished,Family,800 sqft,"10,000"," Bagh Amberpet, Amberpet, NH "
220,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1400 sqft,"16,000", Attapur 
221,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,"19,000"," Aakriti Honey dew, Tellapur, Outer Ring Road "
222,3 BHK Apartment,East,Semi-Furnished,Family,1500 sqft,"17,500"," Kukatpally, NH "
223,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"20,000"," Hill County Township, Bachupally, Outer Ring Road "
224,2 BHK Apartment,1,Unfurnished,Bachelors/Family,810 sqft,"13,000", Serilingampally 
225,2 BHK Apartment,2,Semi-Furnished,Family,1450 sqft,"26,000"," Project Golden Habitat, Madhapur "
226,3 BHK Apartment,3,Semi-Furnished,Family,2192 sqft,"40,000"," Western Exotica Project , Kothaguda "
227,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1800 sqft,"26,000"," Aditya Imperial Heights, Hafeezpet, NH "
228,3 BHK Apartment,1,Furnished,Bachelors/Family,1400 sqft,"18,000", Haripuri colony 
229,2 BHK Apartment,1,Unfurnished,Bachelors,768 sqft,"15,000"," Manikonda, Outer Ring Road "
230,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1700 sqft,"15,000", Aminpur 
231,4 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2800 sqft,"50,000"," Banjara Hills, NH "
232,3 BHK Apartment,3,Semi-Furnished,Bachelors,1740 sqft,"18,000"," APSEB Colony, Hastinapuram "
233,3 BHK Apartment,3,Semi-Furnished,Family,1575 sqft,"18,000"," Silver Spring, Narsingi, Outer Ring Road "
234,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1250 sqft,"10,000"," Bachupally, Outer Ring Road "
235,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1100 sqft,"13,000", Attapur 
236,2 BHK Apartment,2,Unfurnished,Bachelors,1800 sqft,"25,000"," Bhavyas Akhila Exotica, Kukatpally, NH "
237,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1700 sqft,"15,000"," Sri Mahalakshmi Residency, Attapur "
238,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,850 sqft,"18,000"," Lakdikapul, NH "
239,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1650 sqft,"24,000"," Sri Nainas Sunrise, Manikonda, Outer Ring Road "
240,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1200 sqft,"17,000", Balkampet 
241,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"16,500", Puppalaguda 
